metabolite_id,index
M_dhptd_c,474
M_glyald_e,610
M_pro_DASH_L_c,968
M_cdpdtdec7eg_c,375
M_octeACP_c,857
M_sl26da_c,1019
M_dimp_c,475
M_dann_c,441
M_fe3hox_DASH_un_p,532
M_toct2eACP_c,1071
M_trdox_c,1074
M_2h3oppan_c,109
M_dhor_DASH_S_c,471
M_btcoa_c,351
M_mal_DASH_L_p,759
M_mincyc_p,784
M_mpt_c,799
M_acolipa_p,262
M_hlipa_c,674
M_12ppd_DASH_R_c,15
M_gly_p,608
M_4r5au_c,213
M_3c2hmp_c,142
M_acser_p,267
M_athr_DASH_L_c,344
M_ala_DASH_B_c,292
M_epmeACP_c,513
M_gdptp_c,582
M_3dhq_c,145
M_mg2_p,781
M_pe160_p,897
M_ins_c,706
M_poaac_c,951
M_adn_p,275
M_akg_c,289
M_3hodcoa_c,165
M_acACP_c,245
M_4mop_c,207
M_cit_c,381
M_pheme_e,937
M_dmlz_c,478
M_ps181_c,978
M_ps141_c,974
M_fadh2_c,522
M_hdca_c,656
M_gly_e,607
M_ppi_c,958
M_aact_c,244
M_kdo2lipid4p_c,724
M_e4p_c,500
M_adprib_c,281
M_dhpt_c,473
M_glyc3p_c,612
M_1agpe160_p,29
M_dtmp_c,493
M_mqn8_c,802
M_ser_DASH_D_c,1011
M_spmd_p,1027
M_tpalm2eACP_c,1073
M_5aizc_c,214
M_so4_p,1024
M_pheme_c,936
M_urate_c,1131
M_crn_DASH_D_c,419
M_h2s_e,649
M_dctp_c,451
M_f6p_c,520
M_ppcoa_c,955
M_prbatp_c,965
M_pg161_c,913
M_ser_DASH_L_c,1012
M_doxrbcn_e,481
M_hexACP_c,666
M_phpyr_c,942
M_alltn_p,305
M_kdo2lipid4L_c,720
M_ggptrc_c,587
M_idp_c,697
M_pgp141_c,923
M_ade_p,272
M_pe181_c,902
M_LalaDglu_c,241
M_udcpp_p,1111
M_ocdcaACP_c,847
M_pe161_c,898
M_skm_c,1018
M_agm_c,282
M_butACP_c,354
M_uri_p,1138
M_o2_e,841
M_dtdp_c,490
M_dutp_c,498
M_feenter_c,542
M_murein4px4px4p_p,813
M_q8_c,991
M_eca4colipa_p,504
M_b2coa_c,346
M_malthp_c,762
M_murein5p3p_p,814
M_kdo2lipid4_c,721
M_akg_p,291
M_ocdca_c,848
M_enlipa_p,509
M_anhgm4p_c,313
M_arg_DASH_L_e,334
M_fgam_c,551
M_ohpb_c,861
M_glyc_DASH_R_e,616
M_phe_DASH_L_p,935
M_12dgr140_p,4
M_pmtcoa_c,949
M_xtsn_p,1150
M_26dap_DASH_M_c,65
M_actp_c,269
M_glu_DASH_L_e,601
M_arbtn_DASH_fe3_p,329
M_2agpe160_p,73
M_3pg_c,193
M_dgdp_c,459
M_nac_c,824
M_3htdcoa_c,170
M_iscu_DASH_2fe2s2_c,712
M_LalaDgluMdapDala_p,237
M_pgp141_p,924
M_murein5p5p_p,817
M_pg140_c,907
M_ni2_c,833
M_2me4p_c,118
M_alaala_p,301
M_pnto_DASH_R_c,950
M_man6p_c,767
M_s17bp_c,1007
M_succ_c,1031
M_zn2_e,1153
M_2dmmq8_c,103
M_fe2_e,525
M_1agpg120_p,33
M_cobalt2_c,403
M_trp_DASH_L_c,1079
M_hom_DASH_L_p,678
M_acser_e,266
M_anhgm_e,316
M_murein4p3p_p,809
M_hphhlipa_c,679
M_cddec5eACP_c,367
M_glucys_c,603
M_iscu_DASH_4fe4s_c,714
M_pgp140_c,921
M_2agpg120_c,80
M_gam1p_c,576
M_oxur_c,869
M_dtdp4d6dm_c,489
M_pe181_p,903
M_udcpdp_c,1108
M_k_c,717
M_meoh_e,773
M_6hmhpt_c,229
M_fe3hox_DASH_un_c,530
M_cgly_c,377
M_gtspmd_c,639
M_hom_DASH_L_e,677
M_flxso_c,553
M_3hpp_p,169
M_aspsa_c,343
M_msa_c,803
M_glyald_c,609
M_dad_DASH_2_c,437
M_glyclt_c,621
M_hhlipa_c,668
M_ptrc_c,980
M_fusa_p,565
M_pyr_p,990
M_pppg9_c,960
M_1agpe161_p,30
M_pa160_p,877
M_alltn_e,304
M_3hcmrs7eACP_c,151
M_gthox_c,634
M_val_DASH_L_e,1141
M_4ampm_c,202
M_lgt_DASH_S_c,742
M_acg5p_c,254
M_pgp180_p,930
M_pphn_c,957
M_adphep_DASH_LD_c,280
M_pan4p_c,885
M_h2o_e,646
M_lipa_p,748
M_argsuc_c,336
M_6pgl_c,232
M_icolipa_c,693
M_murein3px3p_p,807
M_clpn141_p,391
M_ogmeACP_c,860
M_fru_c,562
M_lipopb_c,752
M_4abut_p,198
M_maltttr_c,765
M_lac_DASH_L_c,732
M_prpp_c,971
M_4pasp_c,209
M_suchms_c,1037
M_12dgr181_p,14
M_gdp_c,580
M_h_c,651
M_grdp_c,630
M_trp_DASH_L_p,1081
M_unagamu_c,1123
M_4hbz_c,206
M_pe140_c,892
M_t3c11vaceACP_c,1046
M_2agpe141_p,71
M_dd2coa_c,453
M_pyam5p_c,983
M_g3pg_c,571
M_palmACP_c,884
M_for_c,556
M_3ocvac11eACP_c,177
M_23dhmp_c,61
M_3hdcoa_c,154
M_gsn_c,633
M_kdolipid4_c,727
M_lipidA_c,749
M_4fe4s_c,205
M_gua_e,641
M_bmoco_c,349
M_glu_DASH_L_c,600
M_idon_DASH_L_c,694
M_acolipa_e,261
M_pe120_p,891
M_dhgly_c,468
M_sucsal_c,1039
M_actACP_c,268
M_cit_e,382
M_clpn161_p,393
M_5dglcn_p,221
M_sufbcd_DASH_2fe2s2_c,1040
M_tyr_DASH_L_e,1091
M_pydxn_c,987
M_uLa4fn_c,1096
M_uaagmda_c,1099
M_h_e,652
M_3mop_c,173
M_kdo_c,726
M_mlthf_c,785
M_ttdca_c,1082
M_feenter_e,543
M_cpgn_c,414
M_gly_c,606
M_lac_DASH_D_p,731
M_pa181_p,883
M_3mob_c,172
M_3hpalmACP_c,166
M_sl2a6o_c,1020
M_tre6p_c,1076
M_g3pg_p,573
M_pg180_p,916
M_3hbcoa_c,149
M_lys_DASH_L_e,754
M_hx2coa_c,682
M_3dhsk_c,146
M_moadcosh_c,792
M_glyclt_p,623
M_2tdec7eg3p_p,136
M_prlp_c,967
M_2obut_c,120
M_13dpg_c,21
M_glx_c,605
M_pgp161_p,928
M_ala_DASH_L_p,298
M_LalaDgluMdap_e,239
M_ru5p_DASH_D_c,1006
M_thymd_e,1068
M_arab_DASH_L_p,326
M_anhgm_p,317
M_cmp_c,398
M_uracp_c,1130
M_3hoctaACP_c,164
M_amp_c,310
M_bglycogen_c,347
M_uacmam_c,1102
M_1agpe141_p,28
M_mql8_c,801
M_agm_e,283
M_aicar_c,287
M_quln_c,996
M_2agpg180_p,91
