complex_id,index
M_LalaDgluMdap_c+M_ala_DASH_D_c,731
M_adp_c+M_h_c+M_pe181_p+M_pi_c,985
M_2dmmql8_c+M_dhap_c,391
M_g6p_c+M_nadp_c,2069
M_acg5p_c+M_h_c+M_nadph_c,805
M_ade_c+M_rib_DASH_D_c,844
M_gthrd_c+M_mthgxl_c,2245
M_coa_c+M_nad_c+M_pyr_c,1674
M_quin_e,2937
M_asp_DASH_L_c+M_atp_c+M_gln_DASH_L_c+M_h2o_c,1274
M_23ddhb_c+M_nad_c,270
M_3ohexACP_c+M_h_c+M_nadph_c,573
M_15dap_p+M_h_c+M_lys_DASH_L_c,202
M_adphep_DASH_LD_c+M_lipa_c,1044
M_ins_e,2705
M_adp_c+M_asp_DASH_L_c+M_h_c+M_pi_c,867
M_aact_c+M_h2o_c+M_o2_c,747
M_adp_c+M_idp_c,1025
M_atp_c+M_h_c+M_mpt_c,1450
M_cgly_p,1558
M_dcdp_c+M_grxox_c+M_h2o_c,1765
2.0_M_enter_c+2.0_M_fe2_c+M_fmn_c+2.0_M_h_c,38
2.0_M_h_p+M_na1_c,96
M_glyc3p_c+2.0_M_h_c+M_hdcea_c,2165
M_adp_c+M_ppap_c,1029
M_h_p+M_melib_p,2617
M_mal_DASH_L_c+M_nad_c,2739
M_ade_c+M_r5p_c,842
M_cmp_c+2.0_M_h_c+M_pa160_c,1599
M_h_p+M_mn2_c,2619
M_LalaDgluMdapDala_p+M_atp_c+M_h2o_c,728
M_atp_c+M_cys_DASH_L_c+M_glu_DASH_L_c,1326
M_2ddg6p_c+M_h2o_c,379
M_ade_c+M_r1p_c,841
M_clpn161_p+M_glyc_p,1586
M_etha_c+M_h_c,1901
M_fum_c+M_mql8_c,2015
2.0_M_arbtn_DASH_fe3_c+M_fadh2_c,18
M_cit_p+M_h_c,1569
M_h2o_p+M_pgp141_p,2437
M_h_c+M_k_c,2468
M_atp_c+M_coa_c+M_h_p+M_ttdca_p,1312
M_ACP_c+M_pa160_c,713
M_cdpdodecg_c+M_ser_DASH_L_c,1547
M_5mtr_c+M_h_c,664
M_1agpe160_p+M_h_p+M_hdca_p,210
M_atp_c+M_h2o_c+M_pro_DASH_L_p,1440
M_adp_c+M_feoxam_c+M_h_c+M_pi_c,913
M_fmn_c+M_h_c+M_nadh_c,1992
M_h2o_c+M_pgp120_c,2341
M_3ohexACP_c+M_ACP_c+M_co2_c,572
M_frdp_c+8.0_M_ipdp_c,2009
M_adp_c+M_fe2_c+M_h_c+M_pi_c,908
M_cmp_c+M_h_c+M_ps181_c,1622
M_amp_c+M_atp_c,1158
M_ctp_c+M_h_c+M_pa161_c,1719
M_h_p+M_ura_p,2649
M_h_p+M_pi_p+M_udcpp_p,2633
M_atp_c+M_h2o_c+M_pe120_c,1417
M_ttrcyc_p,2978
M_adp_c+M_h_c+M_pa140_p+M_pi_c,966
M_h_c+M_ins_c,2467
M_hxa_e,2678
M_h_c+M_na1_p,2501
M_adp_c+M_nicrnt_c+M_pi_c+M_ppi_c,1026
M_nad_c+M_urdglyc_c,2820
M_2fe1s_c+M_iscssh_c+M_iscu_c,405
M_hgmeACP_c+M_nadp_c,2665
M_mththf_c,2785
M_r5p_c,2942
M_4abut_p+M_glu_DASH_L_c,606
M_msa_c+M_nh4_c,2783
M_orn_e,2863
M_aspsa_c+M_nadp_c+M_pi_c,1292
M_amp_c+M_h_c+M_ppgpp_c,1177
M_clpn161_p+M_h2o_p,1587
M_atp_c+M_coa_c+M_h_p+M_ocdca_p,1310
M_gagicolipa_c+M_udpg_c,2073
M_anhgm3p_c+M_h_c,1211
M_cdec3eACP_c+M_h_c+M_malACP_c,1524
M_LalaDgluMdapDala_c+M_atp_c+M_uamr_c,723
M_atp_c+M_ins_c,1459
M_g6p_c,2066
M_3hcmrs7eACP_c+M_nadp_c,502
M_h_c+M_malACP_c+M_myrsACP_c,2482
M_adp_c+M_h_c+M_ni2_c+M_pi_c,960
M_h_c+M_murein5p5p5p_p+M_udcpdp_c,2499
M_h2o_c+M_sucglu_c,2365
3.0_M_h_p+M_nad_c+M_q8h2_c,124
M_amp_c+M_fum_c,1164
M_aicar_c+M_fum_c,1063
M_butACP_c+M_h_c+M_malACP_c,1496
M_h_p+M_rfamp_p,2637
M_g1p_c+M_h_c+M_utp_c,2023
M_2odecg3p_p+M_ocdca_p,442
M_adp_c+M_h_c+M_pi_c+M_ptrc_c,1007
M_atp_c+M_h2o_c+3.0_M_h_c,1390
M_dha_c+M_h_c+M_nadh_c,1804
M_2agpe181_p,326
M_h_c+M_ttrcyc_e,2587
M_1agpg160_p+M_h_p+M_hdca_p,224
M_bglycogen_c+M_pi_c,1487
M_din_c+M_nh4_c,1832
M_cmp_c+2.0_M_h_c+M_pa180_c,1601
M_q8_c+M_succ_c,2935
M_1odec11eg3p_c+M_h_c+M_pi_c,247
M_ade_p+M_h_p,847
M_adp_c+M_h_c+M_pheme_p+M_pi_c,1001
M_gg4abut_c+M_h2o_c,2090
2.0_M_ala_DASH_D_p+M_murein5px4px4p_p,13
M_dhptd_c,1828
M_ddcacoa_c+M_fad_c,1790
M_adp_c+M_cobalt2_p+M_h_c+M_pi_c,875
M_adp_c+M_ggptrc_c+M_h_c+M_pi_c,922
M_h2o_c+M_nad_c+M_sucgsa_c,2314
M_dhf_c+M_h_c+M_nadph_c,1817
M_h2o_c+M_nad_c+M_sucsal_c,2315
M_cdpdhdecg_c+M_ser_DASH_L_c,1539
M_5apru_c+M_nh4_c,647
M_mincyc_p,2764
M_adp_c+M_h_c+M_ile_DASH_L_c+M_pi_c,943
M_h_c+M_ps120_c,2565
M_h_c+M_nadh_c+M_t3c5ddeceACP_c,2512
M_gly_p,2157
M_cys_DASH_L_c+M_h2o_c,1728
M_dha_c+M_g3p_c,1803
M_cmp_c+M_h_c+M_ps120_c,1616
M_2agpe180_c+M_h2o_c,320
M_h2o_c+M_ump_c,2392
M_ac_p+M_na1_p,768
M_ddcaACP_c+M_h2o_c,1777
M_ametam_c+M_co2_c,1148
M_h_p+M_mal_DASH_L_c,2615
M_h2o_c+M_mthgxl_c,2311
M_4ppcys_c+M_cmp_c+M_h_c+M_ppi_c,636
M_3hodcoa_c,531
M_co2_c+M_ump_c,1653
2.0_M_4fe4s_c+M_h2o2_c+2.0_M_h_c,4
M_glu1sa_c+M_nadp_c+M_trnaglu_c,2120
M_pg180_p+M_pi_p,2886
M_acg5p_c+M_adp_c,804
M_e4p_c+M_f6p_c,1875
M_gly_e,2156
M_4abz_c+M_h_c+M_pyr_c,611
M_h2o_c+M_ins_c,2296
M_ACP_c+M_kdo2lipid4p_c,703
M_alaala_p+M_atp_c+M_h2o_c,1128
M_cdpdhdecg_c+M_ppi_c,1538
M_ac_p+M_h_p,767
M_glycogen_c+M_pi_c,2221
M_cdpdodec11eg_c+M_ser_DASH_L_c,1543
M_atp_c+M_h2o_c+M_kdo2lipid4_c,1395
M_glyald_c+M_h_c+M_nadh_c,2161
M_f6p_c,1910
M_etha_p+M_glyc3p_p+M_h_p,1904
M_chor_c+M_pi_c,1562
M_h2o2_c+M_mthgxl_c+M_nh4_c,2269
2.0_M_gthrd_c+M_h2o2_c,62
M_ddca_p+M_g3pg_p+M_h_p,1788
M_gln_DASH_L_c+M_prlp_c,2118
M_agm_c+M_co2_c,1049
M_indole_c+M_ser_DASH_L_c,2700
M_uri_p,3003
M_LalaDgluMdap_p+M_atp_c+M_h2o_c,740
M_glc_DASH_D_p+M_pep_c,2109
M_cdpdodecg_c+M_glyc3p_c,1544
M_atp_c+M_cbl1_p+M_h2o_c,1299
2.0_M_h_p+M_succ_p,98
M_glx_c+M_q8h2_c,2150
M_fadh2_c+2.0_M_fecrm_c,1937
2.0_M_arbtn_DASH_fe3_c+M_rbflvrd_c,20
M_fum_c+M_h2o_c,2014
M_r1p_c+M_xan_c,2941
M_4mpetz_c+M_amp_c+M_co2_c+2.0_M_h2o_c+M_iscs_c+M_nadp_c+M_ppi_c,629
M_h_c+M_xan_c,2594
M_glu_DASH_L_e,2142
M_2agpe160_p,311
M_h2o_c+M_ppi_c,2352
M_atp_c+M_g1p_c+M_h_c,1360
M_akg_c+M_gln_DASH_L_c+M_h_c+M_nadph_c,1071
M_accoa_c+M_for_c,787
M_co2_p+M_h_p+M_q8h2_c,1657
M_alaala_p,1127
M_g1p_c+M_maltpt_c,2025
M_amp_c+M_octapb_c+M_ppi_c,1189
M_h_p+M_thr_DASH_L_p,2643
M_man6p_c,2749
M_h_c+M_lcts_p,2475
M_2me4p_c+M_nadp_c,429
M_anhgm_e,1222
M_ala_DASH_D_p+M_murein4px4p_p,1106
M_murein4p3p_p,2787
M_coa_c+M_h_c+M_octa_c,1669
M_gln_DASH_L_c+M_h2o_c,2116
2.0_M_cpgn_DASH_un_c+2.0_M_fe2_c+M_fmn_c+2.0_M_h_c,31
M_uLa4fn_c+M_udp_c,2981
M_1agpe141_p+M_h2o_p,207
M_fe3hox_DASH_un_p+M_h_c,1968
M_h2o_p+M_pe141_p,2423
M_atp_c+M_for_c+M_thf_c,1357
M_2obut_c+M_h_c+M_pyr_c,433
M_meoh_e,2754
M_2agpe161_c+M_atp_c+M_hdcea_c,314
M_accoa_c+M_co2_c+M_nadh_c,783
M_h_c+M_hpyr_c+M_nadph_c,2457
M_h2o_p+M_pgp120_p,2435
M_pyr_p,2934
M_frdp_c+M_h2o_c+M_pheme_c,2010
M_glyald_c,2160
M_2odec11eg3p_c+M_h2o_c,436
M_fusa_p,2020
M_val_DASH_L_e,3004
2.0_M_cpgn_DASH_un_c+M_fad_c+2.0_M_fe2_c+2.0_M_h_c,32
M_3hcmrs7eACP_c,501
M_arbtn_p+M_h_c,1248
M_malthp_c+M_pi_c,2745
M_lgt_DASH_S_c,2729
M_2agpg180_c+M_h2o_c,355
M_glc_DASH_D_c+M_h_c,2100
M_h_c+M_nadh_c+M_thex2eACP_c,2517
M_g3pe_c+M_h_c+M_ttdca_c,2039
M_g3pg_c+M_h_c+M_ttdca_c,2055
M_h2o_e,2400
M_2dr1p_c+M_ura_c,401
M_ACP_c+M_pa180_c,715
M_12dgr161_c+M_pi_c,172
M_fru_c,2012
M_25drapp_c+M_h2o_c+M_h_c,286
M_glyc3p_c+M_ttdcap_c,2186
M_h2o_c+M_lald_DASH_L_c+M_nad_c,2300
M_adp_c+M_gmp_c+M_h_c,932
M_ala_DASH_L_c+M_glu_DASH_L_c,1112
M_glyc3p_c+M_ocdcaACP_c,2178
M_12dgr181_p,184
M_2tdec7eg3p_c+M_h2o_c,470
M_atp_c+M_h2o_c+M_pa140_c,1411
M_alltt_c+M_h_c,1142
M_atp_c+M_dpcoa_c,1338
M_fe3hox_DASH_un_p+M_h_p,1969
M_dscl_c+M_nad_c,1846
M_fad_c+M_hxcoa_c,1924
M_h2o_c+M_ocACP_c,2324
M_glu_DASH_L_c+M_ohpb_c,2133
M_2agpe141_p,306
M_ac_c+M_h_c,759
M_fe3_e+M_feoxam_DASH_un_e,1964
2.0_M_anhgm3p_p,16
M_adp_c+M_h_c+M_hphhlipa_c,942
M_h_c+M_pyr_c,2573
M_1odec11eg3p_p+M_h_p+M_ocdcea_p,250
M_2omhmbl_c+2.0_M_adp_c+3.0_M_h_c+M_nadh_c+2.0_M_pi_c,450
M_2agpe120_p+M_ddca_p+M_h_p,297
M_3mob_c+M_ala_DASH_L_c,546
M_adp_c+M_h_c+M_paps_c,977
2.0_M_fe2_c+2.0_M_fecrm_DASH_un_c+2.0_M_h_c+M_ribflv_c,42
M_atp_c+M_h2o_c+M_ptrc_p,1441
M_fad_c+M_occoa_c,1926
M_gagicolipa_c+M_h_c+M_udp_c,2072
M_tyr_DASH_L_e,2979
M_akg_p+M_h_p,1089
M_ahcys_c+M_h_c+M_q8h2_c,1058
M_cpppg3_c+2.0_M_h_c+M_o2_c,1700
2.0_M_h_c+M_murein5p5p_p+2.0_M_udcpdp_c,79
M_pg141_c+M_pi_c,2879
M_orn_p+M_ptrc_c,2865
2.0_M_fe2_c+2.0_M_fecrm_DASH_un_c+M_fmn_c+2.0_M_h_c,43
M_h2o_c+M_hxan_c+M_nad_c,2290
M_nh4_c+M_nicrnt_c,2841
M_amp_c+M_octeACP_c+M_ppi_c,1190
M_3ophb_c+M_ppi_c,587
M_1agpe140_p+M_h_p+M_ttdca_p,206
M_2agpe141_c+M_atp_c+M_ttdcea_c,304
M_adp_c+M_fdp_c+M_h_c,907
M_h_p+M_mincyc_p,2618
M_3oddecACP_c+M_h_c+M_nadph_c,565
M_3c2hmp_c+M_nad_c,484
M_glyclt_p+M_h_p,2218
2.0_M_accoa_c,6
M_h_c+M_nadph_c+M_ogmeACP_c,2525
M_amp_c+M_h_c+M_prpp_c,1182
M_4crsol_c+M_dad_DASH_5_c+M_dhgly_c+M_h_c+M_met_DASH_L_c+M_nadp_c,620
M_atp_c+M_coa_c+M_h_p+M_ocdcea_p,1311
M_h_c+M_mthgxl_c+M_nadh_c,2497
M_b2coa_c+M_fadh2_c,1484
M_feenter_e+M_h_p,1982
M_uacmam_c,2987
M_adp_c+M_utp_c,1036
M_2pg_c+M_adp_c+M_h_c,464
M_dmpp_c+M_h2o_c+M_nad_c,1838
M_4per_c+2.0_M_h_c+M_nadh_c,632
M_gthrd_e,2247
M_ala_DASH_B_c+M_co2_c,1091
M_adp_c+M_h_c+M_kdo2lipid4_p+M_pi_c,947
M_atp_c+M_h2o_c+M_ile_DASH_L_p,1393
M_h2o_c+M_t3c5ddeceACP_c,2367
M_gtp_c+M_h_c+M_moco_c,2254
M_atp_c+M_crn_p+M_h2o_c,1323
