 Count  Overhead File                    Line Function
     1         1 @Base\c.jl               146 sigatomic_end
     1         1 …4\src\GLib\signals.jl   317 uv_prepare(src::Ptr{Nothing}, tim…
     1         0 @Base\condition.jl       150 notify(c::Base.GenericCondition{R…
     1         0 @Base\condition.jl        72 assert_havelock
     1         1 @Base\lock.jl             52 assert_havelock
     1         0 @Base\lock.jl            116 trylock
     1         0 …bjective_container.jl   179 set
     1         0 …bjective_container.jl   158 _empty_keeping_sense
     1         0 …bjective_container.jl    34 empty!
     1         1 @JSONRPC\src\typed.jl     76 dispatch_msg(x::VSCodeServer.JSON…
     1         1 @Base\dict.jl            237 ht_keyindex
     1         0 @Base\asyncmap.jl        139 (::Base.var"#1167#1169"{Channel{A…
     1         0 …stributed\src\pmap.jl   126 #224
     1         0 …ted\src\workerpool.jl   148 nworkers
     1         0 …ted\src\workerpool.jl    92 wp_local_nworkers
     1         0 @JSONRPC\src\core.jl     220 (::VSCodeServer.JSONRPC.var"#4#6"…
     1         0 @JSONRPC\src\core.jl     162 read_transport_layer(stream::Base…
     1         0 @Base\io.jl              619 readline
     1         0 @Base\io.jl              619 readline(s::Base.PipeEndpoint; ke…
     1         0 @Base\iobuffer.jl        596 copyline
     1         0 @Base\iobuffer.jl        597 #copyline#522
     1         0 @Base\stream.jl         1030 copyuntil
     1         0 @Base\stream.jl         1053 copyuntil(out::IOBuffer, x::Base.…
     1         1 @Base\stream.jl          901 stop_reading
     1         0 @Base\task.jl            900 yield()
     1         1 @Base\task.jl            993 trypoptask(W::Base.IntrusiveLinke…
     1         0 @Base\iterators.jl      1174 iterate
     1         1 @Base\iterators.jl      1170 _piterate1
     1         0 @COCOA\src\COCOA.jl     1964 concordance_analysis(model::Abstr…
     1         0 …se\logging\logging.jl   353 macro expansion
     1         1 …ging\ConsoleLogger.jl   156 handle_message(logger::Base.CoreL…
     1         0 @COCOA\src\COCOA.jl      832 create_complex(met_idxs::Vector{I…
     1         0 @Base\sort.jl           1720 sort
