reaction_id,index
R_ANHMK,324
R_H2St1pp,1128
R_TDPGDH,1947
R_GPDDA4,1094
R_EAR100x,646
R_EX_val_DASH_L_LPAREN_e_RPAREN_,841
R_ACPPAT180,199
R_GND,1090
R_ULA4NFT,2036
R_GLNS,1022
R_PAPPT3,1611
R_PGPP120pp,1662
R_SERt2rpp_b,1901
R_ME2,1384
R_ADK3_b,220
R_ACOAD6f_f,179
R_GARFT_f,985
R_EX_ca2_LPAREN_e_RPAREN__f,740
R_DGK1_f,582
R_QUINDH_f,1851
R_RPI_f,1880
R_MPTAT,1453
R_G3PD5,964
R_ECAtpp,675
R_L_DASH_LACD3,1347
R_CRNDt2rpp_b,504
R_APH160,341
R_DAPtex_b,566
R_CDAPPA120,431
R_HXAtex_f,1186
R_MN2tpp,1435
R_CBPS,427
R_EX_g3pg_LPAREN_e_RPAREN_,770
R_ALLTAMH,305
R_SO4tex_f,1917
R_DAGK120,553
R_Ec_biomass_iJO1366_core_53p95M,847
R_DHORD5,605
R_NADPHQR3,1477
R_DOXRBCNtex_f,625
R_LCTStpp_f,1279
R_MEPCT,1393
R_SHK3Dr_f,1912
R_CBMKr_f,426
R_PPK2r_f,1758
R_FUM_b,946
R_PLIPA1E181pp,1708
R_UREAtex_b,2056
R_NTPP4,1543
R_EX_enlipa_LPAREN_e_RPAREN_,759
R_EX_glyc_DASH_R_LPAREN_e_RPAREN_,778
R_ARGDCpp,361
R_EX_orn_LPAREN_e_RPAREN_,819
R_FE3HOXexs,898
R_FE3Ri,900
R_HSTPT,1183
R_EX_uri_LPAREN_e_RPAREN_,840
R_OGMEACPR,1562
R_GPDDA4pp,1095
R_DURIPP_b,635
R_FORt2pp,938
R_ASPO3,386
R_PERD_b,1628
R_TRPS3,1995
R_COBALT2t3pp,484
R_G3PAT160,958
R_LEUt2rpp_f,1286
R_ANPRT,325
R_Kt2pp,1263
R_DAPE_b,564
R_3PEPTtex_b,99
R_MOCOS,1448
R_DURIPP_f,636
R_NADS1,1480
R_PG160abcpp,1638
R_ALAALAr_b,280
R_SO4t2pp,1915
R_LCARR_f,1274
R_DHFR_f,597
R_NTPP2,1541
R_MOAT2,1442
R_FBA_b,880
R_TRPAS2_b,1991
R_ACACT3r_b,138
R_MTAN,1459
R_LPLIPAL1A180pp,1301
R_DMPPS,615
R_LPLIPAL2G180,1336
R_LPLIPAL2E140,1325
R_ACOAD8f_f,183
R_DAGK161,557
R_MCTP2App,1369
R_ACOAD2f_b,170
R_ARBt2rpp_f,356
R_PROtex_f,1787
R_URAtex_b,2053
R_PTRCabcpp,1815
R_DM_4CRSOL,617
R_PYRt2rpp_f,1843
R_HYXNtpp_f,1193
R_XYLI2_b,2090
R_FACOAL160t2pp,871
R_MCTP1Bpp,1368
R_RBFSa,1857
R_PGP161abcpp,1658
R_PGPP160pp,1668
R_GLCS1,1010
R_TRPt2rpp_b,1996
R_UACMAMO,2014
R_GLCTR2,1012
R_NTD7,1531
R_PAPA120pp,1598
R_THYMt3pp,1970
R_PHEMEabcpp,1682
R_EAR161y,659
R_NH4tpp_f,1505
R_ETHAtex_f,709
R_INStex_b,1240
R_GLYCLTtex_f,1068
R_ECAP3pp,674
R_NOVBCNtex_b,1519
R_NDPK1_f,1487
R_TYRt2rpp_f,2009
R_EX_fe2_LPAREN_e_RPAREN__b,763
R_PPPGO,1768
R_CS,510
R_HEMEOS,1151
R_AACPS4,121
R_PYRtex_f,1845
R_ECOAH5_b,684
R_PSSA180,1806
R_ACSERtex_f,203
R_ACOAD8f_b,182
R_G3PAT120,955
R_OMPHHX3,1573
R_ALAR_f,287
R_ASNS2,376
R_PLIPA2A180pp,1721
R_T2DECAI_f,1939
R_MPTSS,1457
R_DNTPPA,623
R_ACt4pp,207
R_12PPDStex_f,12
R_AADDGT,128
R_2AGPA180tipp,20
R_ASAD_f,372
R_PLIPA1G181pp,1715
R_PUNP5_f,1828
R_ARGDC,360
R_EX_thym_LPAREN_e_RPAREN_,834
R_FORtex_f,940
R_3PEPTtex_f,100
R_FRD2,942
